household_id,less_preferred_food_days,borrowed_food_days,reduced_meals_days,reduced_portion_days,adults_reduced_for_children_days,basic_needs_met
HH00152,0.0,2.0,4.0,2.0,1.0,Only some
HH00153,3.0,3.0,5.0,0.0,1.0,Yes fully
HH00154,0.0,2.0,1.0,3.0,0.0,Yes fully
HH00155,6.0,2.0,3.0,6.0,1.0,Only some
HH00156,0.0,4.0,2.0,4.0,3.0,Only some
HH00157,7.0,4.0,3.0,2.0,0.0,Only some
HH00158,0.0,5.0,0.0,0.0,1.0,Only some
HH00159,4.0,2.0,5.0,1.0,4.0,Only some
HH00160,2.0,0.0,1.0,5.0,1.0,Yes fully
HH00161,0.0,3.0,0.0,4.0,1.0,Yes mostly
HH00162,2.0,2.0,4.0,3.0,3.0,Yes mostly
HH00163,0.0,0.0,2.0,2.0,3.0,Yes mostly
HH00164,5.0,5.0,0.0,1.0,4.0,Only some
HH00165,6.0,3.0,4.0,6.0,0.0,Only some
HH00166,2.0,3.0,1.0,3.0,3.0,Yes mostly
HH00167,3.0,3.0,5.0,5.0,3.0,Only some
HH00168,1.0,5.0,5.0,3.0,0.0,Yes mostly
HH00169,3.0,4.0,3.0,3.0,,Yes mostly
HH00170,7.0,4.0,2.0,4.0,1.0,No
HH00171,4.0,4.0,2.0,2.0,2.0,Yes mostly
HH00172,7.0,4.0,3.0,6.0,3.0,Only some
HH00173,6.0,4.0,5.0,3.0,2.0,Yes fully
HH00174,0.0,0.0,3.0,5.0,1.0,Yes mostly
HH00175,0.0,2.0,0.0,6.0,1.0,Only some
HH00176,2.0,1.0,1.0,2.0,3.0,Only some
HH00177,7.0,5.0,3.0,1.0,0.0,Only some
HH00178,1.0,3.0,2.0,6.0,2.0,No
HH00179,0.0,3.0,2.0,5.0,3.0,Only some
HH00180,7.0,3.0,2.0,5.0,4.0,Only some
HH00181,1.0,4.0,3.0,6.0,4.0,Yes mostly
HH00182,2.0,4.0,1.0,0.0,1.0,Yes mostly
HH00183,6.0,1.0,0.0,6.0,0.0,Only some
HH00184,0.0,5.0,1.0,0.0,4.0,Only some
HH00185,1.0,4.0,4.0,1.0,2.0,Yes mostly
HH00186,5.0,1.0,3.0,1.0,2.0,Yes mostly
HH00187,0.0,3.0,4.0,,4.0,Yes fully
HH00188,5.0,2.0,0.0,0.0,3.0,Yes fully
HH00189,4.0,2.0,0.0,0.0,2.0,Yes mostly
HH00190,1.0,5.0,0.0,3.0,0.0,Only some
HH00191,4.0,1.0,3.0,2.0,0.0,Only some
HH00192,2.0,5.0,3.0,2.0,2.0,No
HH00193,7.0,3.0,0.0,1.0,0.0,Only some
HH00194,3.0,4.0,2.0,6.0,1.0,Yes mostly
HH00195,5.0,4.0,0.0,2.0,3.0,Only some
HH00196,2.0,3.0,3.0,3.0,0.0,Only some
HH00197,6.0,1.0,3.0,0.0,4.0,Only some
HH00198,2.0,5.0,0.0,1.0,2.0,Yes mostly
HH00199,4.0,3.0,,1.0,4.0,Only some
HH00200,6.0,2.0,4.0,6.0,0.0,Yes fully
HH00201,7.0,1.0,5.0,1.0,2.0,Yes mostly
HH00202,6.0,0.0,5.0,3.0,4.0,Yes fully
HH00203,5.0,1.0,3.0,3.0,3.0,Yes mostly
HH00204,5.0,0.0,3.0,0.0,4.0,No
HH00205,3.0,5.0,4.0,2.0,3.0,Yes fully
HH00206,5.0,2.0,5.0,0.0,3.0,Yes fully
HH00207,4.0,3.0,5.0,1.0,1.0,Only some
HH00208,4.0,4.0,2.0,4.0,2.0,No
HH00209,2.0,5.0,2.0,3.0,0.0,Yes mostly
HH00210,2.0,2.0,,3.0,1.0,Yes mostly
HH00211,0.0,0.0,1.0,1.0,0.0,Yes mostly
HH00212,5.0,3.0,2.0,4.0,1.0,Only some
HH00213,0.0,5.0,4.0,,3.0,Only some
HH00214,0.0,2.0,2.0,5.0,1.0,Yes fully
HH00215,2.0,0.0,3.0,,2.0,No
HH00216,1.0,4.0,5.0,4.0,2.0,Only some
HH00217,5.0,3.0,2.0,1.0,0.0,Only some
HH00218,1.0,0.0,2.0,6.0,4.0,Yes fully
HH00219,3.0,0.0,4.0,3.0,3.0,No
HH00220,5.0,3.0,1.0,5.0,0.0,Yes mostly
HH00221,4.0,0.0,2.0,3.0,0.0,Yes mostly
HH00222,4.0,1.0,,4.0,0.0,Yes mostly
HH00223,2.0,1.0,2.0,6.0,1.0,Yes mostly
HH00224,3.0,2.0,1.0,0.0,0.0,Yes fully
HH00225,6.0,4.0,5.0,6.0,0.0,Yes fully
HH00226,3.0,2.0,3.0,3.0,2.0,Yes mostly
HH00227,5.0,5.0,4.0,0.0,2.0,Yes mostly
HH00228,6.0,3.0,1.0,3.0,0.0,Only some
HH00229,1.0,2.0,4.0,0.0,2.0,Only some
HH00230,0.0,3.0,5.0,3.0,2.0,Only some
HH00231,3.0,0.0,0.0,3.0,1.0,Yes fully
HH00232,3.0,5.0,1.0,2.0,0.0,Yes mostly
HH00233,1.0,1.0,3.0,3.0,3.0,Only some
HH00234,6.0,5.0,4.0,4.0,0.0,Only some
HH00235,4.0,3.0,0.0,5.0,1.0,Yes mostly
HH00236,5.0,1.0,3.0,2.0,3.0,No
HH00237,5.0,2.0,0.0,0.0,3.0,Only some
HH00238,3.0,0.0,5.0,3.0,4.0,No
HH00239,4.0,3.0,4.0,6.0,0.0,Only some
HH00240,1.0,0.0,5.0,2.0,0.0,Yes mostly
HH00241,5.0,3.0,1.0,0.0,3.0,No
HH00242,7.0,1.0,4.0,6.0,1.0,No
HH00243,6.0,0.0,2.0,2.0,1.0,Only some
HH00244,3.0,1.0,0.0,2.0,1.0,No
HH00245,0.0,,2.0,2.0,4.0,No
HH00246,7.0,5.0,2.0,5.0,3.0,Only some
HH00247,4.0,5.0,3.0,1.0,4.0,Yes mostly
HH00248,6.0,5.0,5.0,4.0,2.0,Yes mostly
HH00249,2.0,4.0,1.0,2.0,2.0,Only some
HH00250,6.0,1.0,3.0,2.0,2.0,Only some
HH00251,6.0,4.0,1.0,1.0,0.0,Yes mostly
HH00252,0.0,4.0,5.0,5.0,2.0,Yes mostly
HH00253,4.0,1.0,2.0,3.0,1.0,No
HH00254,3.0,5.0,4.0,6.0,4.0,Yes mostly
HH00255,5.0,5.0,1.0,5.0,0.0,Yes fully
HH00256,2.0,2.0,1.0,5.0,0.0,Only some
HH00257,0.0,3.0,5.0,3.0,4.0,Yes mostly
HH00258,2.0,5.0,1.0,6.0,0.0,Yes mostly
HH00259,,1.0,3.0,4.0,2.0,Only some
HH00260,2.0,5.0,,3.0,1.0,No
HH00261,3.0,1.0,2.0,2.0,1.0,Yes mostly
HH00262,3.0,5.0,4.0,6.0,2.0,Yes mostly
HH00263,5.0,1.0,4.0,1.0,3.0,Yes mostly
HH00264,3.0,4.0,2.0,6.0,0.0,Only some
HH00265,1.0,3.0,3.0,1.0,3.0,Yes mostly
HH00266,5.0,2.0,0.0,5.0,4.0,Yes mostly
HH00267,1.0,2.0,1.0,1.0,1.0,Only some
HH00268,2.0,1.0,4.0,5.0,,No
HH00269,5.0,4.0,3.0,5.0,4.0,Yes mostly
HH00270,2.0,5.0,0.0,5.0,4.0,Only some
HH00271,0.0,3.0,5.0,6.0,3.0,Only some
HH00272,2.0,1.0,2.0,3.0,4.0,Yes mostly
HH00273,3.0,4.0,1.0,5.0,3.0,Only some
HH00274,5.0,2.0,2.0,3.0,2.0,Yes mostly
HH00275,5.0,5.0,2.0,0.0,0.0,Yes fully
HH00276,0.0,1.0,3.0,2.0,4.0,Yes fully
HH00277,6.0,3.0,0.0,0.0,1.0,Yes fully
HH00278,5.0,2.0,0.0,4.0,3.0,Only some
HH00279,1.0,5.0,5.0,1.0,3.0,Only some
HH00280,2.0,0.0,4.0,2.0,1.0,Only some
HH00281,6.0,3.0,2.0,6.0,3.0,Only some
HH00282,4.0,4.0,5.0,5.0,3.0,Yes mostly
HH00283,2.0,2.0,4.0,2.0,3.0,No
HH00284,6.0,3.0,4.0,3.0,4.0,No
HH00285,5.0,1.0,4.0,4.0,1.0,Yes mostly
HH00286,4.0,2.0,5.0,2.0,3.0,Only some
HH00287,0.0,5.0,5.0,5.0,0.0,Only some
HH00288,5.0,2.0,1.0,1.0,3.0,Yes mostly
HH00289,1.0,1.0,4.0,2.0,0.0,Yes fully
HH00290,7.0,3.0,0.0,1.0,1.0,Yes mostly
HH00291,1.0,2.0,3.0,4.0,0.0,No
HH00292,0.0,4.0,0.0,4.0,4.0,Only some
HH00293,,0.0,1.0,5.0,1.0,Only some
HH00294,2.0,5.0,4.0,2.0,1.0,No
HH00295,2.0,4.0,2.0,1.0,1.0,Yes mostly
HH00296,7.0,5.0,0.0,0.0,3.0,No
HH00297,2.0,2.0,5.0,6.0,4.0,Yes mostly
HH00298,6.0,2.0,5.0,2.0,3.0,Only some
HH00299,1.0,2.0,1.0,5.0,0.0,Yes mostly
HH00300,4.0,5.0,3.0,2.0,2.0,Yes mostly
HH00301,1.0,0.0,1.0,2.0,0.0,Yes mostly
HH00302,1.0,3.0,4.0,1.0,0.0,Yes mostly
HH00303,1.0,1.0,4.0,5.0,0.0,Yes fully
HH00304,2.0,3.0,2.0,2.0,3.0,Yes mostly
HH00305,3.0,5.0,5.0,2.0,4.0,Only some
HH00306,6.0,4.0,4.0,4.0,1.0,No
HH00307,6.0,0.0,0.0,3.0,4.0,Yes fully
HH00308,5.0,2.0,2.0,5.0,1.0,Yes fully
HH00309,3.0,0.0,4.0,0.0,1.0,Only some
HH00310,2.0,2.0,3.0,6.0,0.0,Only some
HH00311,2.0,1.0,0.0,1.0,0.0,Only some
HH00312,1.0,4.0,4.0,0.0,3.0,No
HH00313,5.0,3.0,2.0,0.0,2.0,Yes mostly
HH00314,6.0,1.0,1.0,2.0,0.0,Yes mostly
HH00315,4.0,5.0,4.0,,2.0,No
HH00316,4.0,4.0,5.0,0.0,1.0,Only some
HH00317,2.0,3.0,3.0,4.0,1.0,Only some
HH00318,7.0,2.0,4.0,4.0,4.0,No
HH00319,7.0,1.0,1.0,5.0,2.0,Yes mostly
HH00320,3.0,3.0,4.0,0.0,2.0,Yes fully
HH00321,6.0,4.0,5.0,0.0,3.0,Yes fully
HH00322,2.0,5.0,1.0,1.0,4.0,Only some
HH00323,0.0,4.0,5.0,3.0,3.0,No
HH00324,2.0,0.0,0.0,4.0,2.0,Yes mostly
HH00325,6.0,5.0,2.0,1.0,1.0,Yes mostly
HH00326,3.0,1.0,0.0,2.0,0.0,Only some
HH00327,6.0,0.0,2.0,3.0,0.0,Yes fully
HH00328,2.0,3.0,3.0,3.0,3.0,Only some
HH00329,3.0,2.0,5.0,3.0,3.0,Yes mostly
HH00330,0.0,0.0,0.0,4.0,1.0,No
HH00331,6.0,1.0,5.0,5.0,4.0,Only some
HH00332,2.0,1.0,5.0,,4.0,Yes mostly
HH00333,0.0,2.0,0.0,6.0,3.0,Only some
HH00334,1.0,4.0,5.0,2.0,1.0,Only some
HH00335,5.0,4.0,5.0,2.0,2.0,Yes mostly
HH00336,6.0,0.0,0.0,1.0,4.0,Yes mostly
HH00337,7.0,1.0,0.0,2.0,2.0,Only some
HH00338,1.0,3.0,4.0,3.0,2.0,Only some
HH00339,4.0,4.0,2.0,4.0,2.0,Only some
HH00340,,0.0,1.0,0.0,4.0,Yes mostly
HH00341,5.0,2.0,2.0,6.0,2.0,Only some
HH00342,5.0,0.0,2.0,0.0,0.0,Only some
HH00343,0.0,2.0,5.0,2.0,2.0,Yes mostly
HH00344,1.0,2.0,1.0,3.0,3.0,Yes mostly
HH00345,4.0,1.0,0.0,2.0,4.0,Yes mostly
HH00346,4.0,5.0,4.0,,0.0,Only some
HH00347,7.0,4.0,5.0,3.0,4.0,Yes fully
HH00348,6.0,3.0,5.0,0.0,4.0,No
HH00349,0.0,4.0,5.0,5.0,3.0,Yes mostly
HH00350,4.0,1.0,0.0,4.0,1.0,Only some
HH00351,3.0,5.0,,5.0,1.0,Yes fully
HH00352,3.0,2.0,1.0,5.0,2.0,Only some
HH00353,0.0,2.0,2.0,6.0,0.0,Only some
HH00354,6.0,3.0,2.0,1.0,3.0,Only some
HH00355,1.0,3.0,5.0,5.0,3.0,No
HH00356,7.0,3.0,3.0,3.0,2.0,Yes fully
HH00357,7.0,4.0,1.0,0.0,3.0,Yes fully
HH00358,6.0,1.0,0.0,6.0,3.0,Yes fully
HH00359,0.0,4.0,3.0,5.0,4.0,Yes mostly
HH00360,3.0,1.0,4.0,1.0,3.0,Only some
HH00361,0.0,1.0,4.0,6.0,1.0,Yes fully
HH00362,4.0,2.0,5.0,5.0,0.0,Only some
HH00363,6.0,3.0,0.0,3.0,4.0,Yes mostly
HH00364,4.0,3.0,2.0,1.0,3.0,No
HH00365,0.0,0.0,3.0,5.0,4.0,Yes mostly
HH00366,2.0,4.0,5.0,,2.0,No
HH00367,1.0,3.0,1.0,1.0,0.0,Only some
HH00368,3.0,3.0,4.0,0.0,2.0,No
HH00369,2.0,4.0,1.0,1.0,3.0,Only some
HH00370,6.0,4.0,3.0,2.0,1.0,Yes mostly
HH00371,1.0,2.0,4.0,2.0,2.0,Only some
HH00372,2.0,2.0,,6.0,,Yes mostly
HH00373,1.0,1.0,2.0,6.0,1.0,Yes mostly
HH00374,7.0,3.0,2.0,4.0,4.0,Yes mostly
HH00375,2.0,1.0,5.0,1.0,,No
HH00376,7.0,3.0,3.0,1.0,4.0,Only some
HH00377,5.0,2.0,2.0,0.0,0.0,Yes fully
HH00378,2.0,1.0,1.0,5.0,4.0,Only some
HH00379,4.0,2.0,4.0,1.0,3.0,Yes mostly
HH00380,0.0,5.0,4.0,6.0,3.0,Yes fully
HH00381,7.0,3.0,3.0,4.0,1.0,Yes fully
HH00382,7.0,2.0,0.0,3.0,0.0,Yes fully
HH00383,2.0,2.0,0.0,6.0,1.0,Only some
HH00384,1.0,3.0,1.0,1.0,2.0,Yes mostly
HH00385,3.0,0.0,0.0,3.0,1.0,Yes fully
HH00386,6.0,3.0,2.0,1.0,0.0,Yes mostly
HH00387,5.0,0.0,2.0,1.0,0.0,No
HH00388,0.0,5.0,2.0,6.0,3.0,Only some
HH00389,0.0,3.0,5.0,4.0,3.0,Yes mostly
HH00390,1.0,0.0,1.0,1.0,0.0,Only some
HH00391,6.0,2.0,4.0,0.0,3.0,Yes fully
HH00392,2.0,5.0,1.0,2.0,4.0,No
HH00393,7.0,5.0,3.0,5.0,4.0,Yes fully
HH00394,2.0,0.0,5.0,1.0,0.0,Yes fully
HH00395,7.0,1.0,5.0,5.0,2.0,Yes mostly
HH00396,7.0,,3.0,0.0,0.0,Yes fully
HH00397,5.0,2.0,1.0,2.0,0.0,Yes fully
HH00398,1.0,5.0,2.0,3.0,4.0,Only some
HH00399,0.0,4.0,2.0,0.0,4.0,Yes mostly
HH00400,1.0,1.0,5.0,2.0,1.0,Yes fully
HH00401,5.0,1.0,2.0,1.0,2.0,Only some
HH00402,5.0,3.0,4.0,0.0,0.0,Only some
HH00403,7.0,3.0,5.0,0.0,4.0,No
HH00404,7.0,2.0,0.0,1.0,2.0,Yes fully
HH00405,2.0,2.0,5.0,5.0,1.0,No
HH00406,3.0,5.0,3.0,0.0,4.0,Only some
HH00407,6.0,3.0,3.0,3.0,0.0,Only some
HH00408,6.0,4.0,1.0,0.0,1.0,Yes mostly
HH00409,2.0,5.0,2.0,1.0,3.0,Yes mostly
HH00410,0.0,2.0,3.0,1.0,2.0,Yes fully
HH00411,0.0,4.0,1.0,2.0,3.0,Only some
HH00412,6.0,4.0,4.0,5.0,1.0,Only some
HH00413,2.0,1.0,4.0,2.0,3.0,Yes fully
HH00414,5.0,1.0,0.0,0.0,2.0,Yes mostly
HH00415,6.0,0.0,1.0,1.0,0.0,No
HH00416,7.0,3.0,3.0,2.0,1.0,Yes mostly
HH00417,3.0,4.0,4.0,1.0,1.0,Only some
HH00418,5.0,4.0,1.0,3.0,2.0,No
HH00419,1.0,2.0,5.0,2.0,2.0,Yes mostly
HH00420,7.0,4.0,3.0,5.0,2.0,Only some
HH00421,7.0,0.0,3.0,1.0,0.0,Only some
HH00422,3.0,3.0,0.0,4.0,4.0,Yes mostly
HH00423,2.0,2.0,3.0,0.0,3.0,Yes mostly
HH00424,5.0,4.0,4.0,6.0,3.0,No
HH00425,3.0,5.0,1.0,6.0,1.0,Yes fully
HH00426,5.0,3.0,3.0,1.0,3.0,Yes fully
HH00427,0.0,3.0,0.0,1.0,1.0,Yes mostly
HH00428,2.0,5.0,1.0,0.0,2.0,Only some
HH00429,6.0,2.0,0.0,6.0,1.0,Yes mostly
HH00430,7.0,0.0,4.0,0.0,,Yes mostly
HH00431,0.0,3.0,5.0,0.0,3.0,Yes mostly
HH00432,6.0,2.0,0.0,0.0,1.0,Yes mostly
HH00433,0.0,3.0,4.0,2.0,3.0,Only some
HH00434,6.0,4.0,3.0,6.0,2.0,No
HH00435,2.0,3.0,4.0,1.0,4.0,Yes mostly
HH00436,2.0,1.0,3.0,3.0,0.0,Only some
HH00437,5.0,3.0,5.0,4.0,4.0,Only some
HH00438,6.0,2.0,0.0,5.0,0.0,Only some
HH00439,3.0,1.0,0.0,4.0,2.0,Only some
HH00440,2.0,4.0,1.0,6.0,1.0,Yes fully
HH00441,7.0,1.0,4.0,4.0,3.0,Only some
HH00442,7.0,3.0,0.0,5.0,0.0,Only some
HH00443,4.0,5.0,0.0,2.0,1.0,Only some
HH00444,0.0,1.0,4.0,2.0,1.0,Yes mostly
HH00445,7.0,2.0,2.0,5.0,4.0,Yes fully
HH00446,4.0,1.0,4.0,6.0,2.0,Yes fully
HH00447,,2.0,2.0,0.0,0.0,Yes mostly
HH00448,0.0,1.0,0.0,3.0,3.0,Yes fully
HH00449,7.0,5.0,3.0,5.0,1.0,Yes mostly
HH00450,5.0,1.0,0.0,0.0,1.0,Yes fully
HH00451,1.0,3.0,2.0,2.0,2.0,Yes mostly
HH00452,2.0,0.0,5.0,3.0,3.0,No
HH00453,2.0,2.0,1.0,0.0,4.0,Yes mostly
HH00454,6.0,5.0,1.0,6.0,0.0,Yes mostly
HH00455,3.0,4.0,5.0,2.0,4.0,Only some
HH00456,6.0,1.0,1.0,5.0,4.0,Yes mostly
HH00457,5.0,5.0,2.0,2.0,1.0,Yes fully
HH00458,2.0,4.0,4.0,2.0,2.0,Only some
HH00459,3.0,2.0,0.0,6.0,1.0,Yes mostly
HH00460,6.0,5.0,0.0,5.0,2.0,Only some
HH00461,3.0,1.0,5.0,3.0,3.0,Yes fully
HH00462,5.0,1.0,5.0,3.0,3.0,Yes mostly
HH00463,0.0,5.0,5.0,5.0,2.0,Yes fully
