household_id,state_region,township,household_size,monthly_income,has_debt,total_debt,monthly_debt_repayment,savings_duration_weeks,market_access,female_headed_household,disability_present,displacement_status
HH00092,Bago,Pyay,2,389326.0,Yes,346332,30928,1,Yes,Yes,No,Resident
HH00093,Bago,Pyay,8,422383.0,Yes,1009076,6995,1,Yes,Yes,No,IDP
HH00094,Kayah,Loikaw,4,552432 MMK,Yes,1022565,67566,1,Yes,Yes,No,Resident
HH00095,Mon,Ye,7,175513.0,No,0,0,0,Yes,No,No,Resident
HH00096,Kachin,Myitkyina,6,268629.0,No,0,0,12,Yes,Yes,No,IDP
HH00097,Chin,Tedim,3,469132.0,Yes,616458,5000,1,Unknown,No,No,IDP
HH00098,Shan North,Laukkaing,3,402030.0,Y,598649,102611,2,Yes,Yes,No,IDP
HH00099,Shan South,Hopong,6,522935.0,Yes,182256,97439,1,Yes,Yes,No,IDP
HH00100,Magway,Minbu,4,198689.0,No,0,0,1,Yes,Yes,No,Resident
HH00101,Bago,Bago,7,484283.0,Y,681154,46031,1,No,No,No,IDP
HH00102,Mandalay,Myingyan,3,616485.0,Yes,949136,5000,1,N,No,No,Returnee
HH00103,Bago,Taungoo,6,507627.0,Yes,771338,147875,3,Y,No,No,Resident
HH00104,Sagaing,Monywa,6,445040.0,Yes,1153980,92541,12,No,Yes,No,Resident
HH00105,Bago,Bago,3,402741.0,Yes,544412,46389,1,Y,No,No,IDP
HH00106,Bago,Taungoo,4,269727.0,No,0,0,12,Yes,No,No,Resident
HH00107,Ayeyarwady,Pathein,8,407040.0,Yes,543976,99471,3,Y,No,No,Resident
HH00108,Northern Shan,Muse,4,646747.0,Yes,367465,109084,2,Y,Yes,No,Resident
HH00109,Kayin,Hpa-An,4,398575.0,no,0,0,1,Yes,Yes,No,Resident
HH00110,Shan North,Lashio,4,259835.0,yes,1396606,72215,0,Yes,Yes,No,Resident
HH00111,Chin,Matupi,3,331396.0,Yes,179462,14486,8,Yes,No,No,IDP
HH00112,Ayeyarwady,Pathein,6,456153.0,Yes,921798,72311,2,Yes,No,No,Resident
HH00113,Rakhine,Kyaukphyu,6,352767.0,No,0,0,1,Y,No,No,IDP
HH00114,Kayin,Kawkareik,4,507355.0,yes,956891,50986,4,Yes,No,No,Resident
HH00115,Rakhine,Sittwe,7,514112.0,yes,940718,67877,1,No,No,No,Resident
HH00116,Rakhine,Sittwe,3,580017.0,Yes,393624,56955,4,Unknown,No,Yes,Resident
HH00117,Sagaing,Kalay,1,676241.0,Yes,231031,164521,1,Yes,Yes,Yes,IDP
HH00118,Magway,Magway,5,599255.0,No,0,0,8,Yes,No,No,Returnee
HH00119,Chin,Hakha,9,251837.0,yes,616266,104003,1,No,Yes,Yes,Resident
HH00120,Magway,Minbu,1,257364.0,yes,462096,27663,0,Y,No,Yes,Returnee
HH00121,Kayin,Hpa-An,3,406361.0,Yes,568142,124554,3,Yes,No,No,Resident
HH00122,Shan North,Lashio,5,338788.0,Y,467744,35826,0,Yes,No,No,Resident
HH00123,Shan North,Laukkaing,6,215101.0,Yes,704412,97456,8,No,No,No,IDP
HH00124,Kayin,Hpa-An,2,340495.0,Y,1224997,90919,3,N,No,No,Resident
HH00125,Bago,Pyay,4,334588.0,yes,875397,107367,1,Yes,Yes,No,IDP
HH00126,Rakhine,Kyaukphyu,6,299067.0,No,0,0,1,Yes,No,Yes,Resident
HH00127,Magway,Magway,4,363158.0,Yes,246445,31650,8,Unknown,Yes,No,IDP
HH00128,Ayeyarwady,Hinthada,3,632121.0,Y,270636,15053,2,Yes,No,No,Resident
HH00129,Shan South,Pekon,3,455863.0,No,0,0,8,Yes,No,No,Resident
HH00130,Shan South,Taunggyi,4,864926.0,yes,928411,88052,0,No,No,No,Resident
HH00131,Rakhine,Mrauk-U,5,450691.0,No,0,0,8,Yes,No,No,IDP
HH00132,Rakhine,Kyaukphyu,7,367788.0,yes,677824,5000,2,Yes,No,No,Resident
HH00133,Magway,Pakokku,5,420744.0,Yes,1369417,34758,3,No,No,No,Resident
HH00134,Rakhine,Kyaukphyu,6,466169.0,Yes,1368134,9784,1,No,Yes,No,Resident
HH00135,Bago,Pyay,9,498346.0,Yes,365660,5000,0,Yes,No,No,Resident
HH00136,Kachin,Bhamo,4,793808.0,Yes,776744,25443,12,Yes,Yes,No,Resident
HH00137,Shan South,Taunggyi,4,267842.0,Yes,274450,13237,12,No,No,No,IDP
HH00138,Sagaing,Shwebo,8,574628.0,Y,922074,107016,1,No,No,No,Resident
HH00139,Kachin,Myitkyina,3,457395.0,Yes,1284212,44143,8,Y,No,No,Resident
HH00140,Kayin,Hpa-An,6,137202.0,Yes,726587,16980,0,Y,No,Yes,Resident
HH00141,Tanintharyi,Kawthaung,6,558726.0,Yes,532736,51652,0,No,Yes,No,Resident
HH00142,Chin,Hakha,2,648172.0,Yes,812557,120766,0,N,No,No,Resident
HH00143,Chin,Tedim,5,265708.0,yes,996873,37073,1,Y,No,No,Resident
HH00144,Kayah,Demoso,3,418392.0,no,0,0,0,Yes,No,No,Resident
HH00145,Tanintharyi,Dawei,3,109436.0,Yes,999464,73016,1,Unknown,No,No,IDP
HH00146,Bago,Bago,5,193415.0,N,0,0,0,N,No,Yes,Resident
HH00147,Sagaing,Shwebo,4,608645.0,N,0,0,3,Yes,No,No,Resident
HH00148,Chin,Tedim,6,336045.0,no,0,0,4,Yes,Yes,No,Resident
HH00149,Bago,Taungoo,7,220415.0,No,0,0,3,No,No,No,IDP
HH00150,sagaing,Kalay,6,461303.0,Yes,536391,43117,1,Yes,Yes,No,Returnee
HH00151,Bago,Bago,4,325966.0,No,0,0,4,No,Yes,No,Resident
HH00152,Chin,Hakha,4,335252.0,yes,454022,153404,1,No,No,No,Resident
HH00153,Mon,Mawlamyine,3,553079.0,N,0,0,4,Yes,No,No,Resident
HH00154,Kachin,Bhamo,3,210888.0,No,0,0,2,Yes,No,No,IDP
HH00155,Kayin,Hpa-An,8,257034.0,Yes,757594,82858,1,N,No,No,Resident
HH00156,Shan North,Lashio,4,447734.0,N,0,0,0,Yes,No,No,Resident
HH00157,Magway,Minbu,3,594494.0,yes,558214,185069,4,No,No,No,Resident
HH00158,Rakhine,Kyaukphyu,7,642869.0,No,0,0,8,Yes,No,No,Resident
HH00159,Rakhine,Kyaukphyu,4,300289.0,Y,1106754,42552,3,Yes,Yes,No,Resident
HH00160,Ayeyarwady,Pathein,1,588728.0,No,0,0,12,No,Yes,Yes,Resident
HH00161,Tanintharyi,Myeik,3,278854.0,No,0,0,8,Yes,No,Yes,IDP
HH00162,Shan North,Muse,5,748718.0,Y,554235,65359,0,No,No,No,IDP
HH00163,Kayah,Loikaw,6,215921.0,N,0,0,3,No,Yes,No,Resident
HH00164,Kayah,Demoso,3,659126.0,no,0,0,1,Yes,Yes,Yes,Resident
HH00165,Kayah,Demoso,7,301833.0,No,0,0,2,Yes,No,No,IDP
HH00166,Bago,Pyay,7,782384.0,No,0,0,0,No,No,No,IDP
HH00167,Kachin,Putao,7,526438.0,No,0,0,12,No,No,No,IDP
HH00168,Mandalay,Myingyan,3,237117.0,Yes,701055,43445,3,No,Yes,Yes,Returnee
HH00169,Kachin,Bhamo,2,325997.0,Yes,803586,140344,1,Y,Yes,No,Resident
HH00170,Sagaing,Kalay,7,560613.0,Yes,190230,24233,1,Yes,No,Yes,Resident
HH00171,Magway,Minbu,4,609476.0,No,0,0,1,Yes,Yes,No,Resident
HH00172,Magway,Magway,5,407271.0,Yes,480895,55344,3,No,Yes,Yes,Resident
HH00173,Ayeyarwady,Pathein,6,428038.0,No,0,0,8,No,No,No,Resident
HH00174,Ayeyarwady,Myaungmya,3,556504.0,N,0,0,1,Y,No,No,Resident
HH00175,Shan North,Laukkaing,6,443724.0,Yes,1349463,120077,2,Yes,Yes,Yes,Resident
HH00176,Kayin,Kawkareik,8,187169.0,Y,980513,63104,2,Yes,No,No,Resident
HH00177,Ayeyarwady,Pathein,6,273665.0,yes,549790,9673,1,No,No,No,IDP
HH00178,Mandalay,Kyaukse,4,462322.0,Y,923609,97097,2,Yes,Yes,No,Resident
HH00179,Mon,Ye,7,638787.0,Yes,1100099,65513,0,Yes,No,No,Resident
HH00180,Rakhine,Mrauk-U,5,710877.0,No,0,0,0,No,No,No,Resident
HH00181,Tanintharyi,Kawthaung,6,560315.0,Y,600377,82652,1,Yes,No,No,Resident
HH00182,Mandalay,Mandalay,7,471712.0,Y,962164,8840,8,Yes,No,No,Resident
HH00183,Kayin,Hpa-An,6,554786.0,Yes,907620,74078,1,Yes,No,No,Resident
HH00184,Shan North,Laukkaing,4,299985.0,No,0,0,1,N,Yes,No,Resident
HH00185,Kayin,Myawaddy,2,392418.0,Y,279477,5000,3,Yes,No,No,IDP
HH00186,Kayin,Myawaddy,3,271656.0,Yes,602234,140147,8,Yes,No,No,Resident
HH00187,Mandalay,Kyaukse,5,195226.0,Y,1236140,90992,2,Yes,Yes,No,Resident
HH00188,Kayah,Demoso,5,480039.0,Yes,1336702,73068,0,Yes,No,Yes,IDP
HH00189,Chin,Matupi,5,453392.0,No,0,0,3,Yes,No,No,Resident
HH00190,Kachin,Myitkyina,4,543777.0,yes,983656,54695,1,No,No,No,IDP
HH00191,Shan North,Laukkaing,6,518300.0,Yes,469890,44512,3,Yes,No,No,Resident
HH00192,Shan South,Hopong,7,463676.0,Y,20000,132919,1,Yes,No,Yes,Resident
HH00193,Shan South,Pekon,3,520191.0,No,0,0,0,Yes,No,No,Resident
HH00194,Kayah,Demoso,6,412317.0,Yes,425429,38935,1,Yes,No,No,Resident
HH00195,Tanintharyi,Dawei,6,494320.0,yes,237010,65804,3,Yes,No,No,Returnee
HH00196,Magway,Minbu,5,289294.0,No,0,0,1,No,No,No,Resident
HH00197,Kachin,Bhamo,3,486547.0,Yes,1267222,169220,1,No,No,Yes,Resident
HH00198,Magway,Pakokku,6,540315 MMK,yes,68697,59050,2,No,No,No,Resident
HH00199,Kachin,Bhamo,8,299457.0,N,0,0,4,Yes,No,No,IDP
HH00200,Tanintharyi,Kawthaung,6,429330.0,Y,287975,119475,0,Y,No,No,Resident
HH00201,Kayah,Loikaw,7,,Yes,750308,46354,3,No,No,No,Resident
HH00202,Mon,Mawlamyine,9,325229.0,Yes,675401,53516,3,Yes,No,No,Returnee
HH00203,Kayin,Kawkareik,4,217513.0,Y,1214986,99613,1,Yes,Yes,No,Resident
HH00204,Shan North,Lashio,5,647839.0,Yes,884438,5000,12,No,Yes,No,Resident
HH00205,Kayin,Kawkareik,5,611823.0,Yes,626624,168744,8,Yes,No,No,Resident
HH00206,Chin,Matupi,9,516738.0,N,0,0,1,Yes,No,No,Resident
HH00207,Ayeyarwady,Myaungmya,2,774995.0,Yes,1114145,5000,0,No,No,Yes,IDP
HH00208,Tanintharyi,Kawthaung,4,385936.0,Yes,540301,20932,1,Yes,Yes,No,Resident
HH00209,Chin,Hakha,7,965717.0,Yes,1248886,85993,1,Unknown,Yes,No,Returnee
HH00210,Ayeyarwady,Pathein,4,379045.0,No,0,0,2,Yes,Yes,No,Resident
HH00211,Chin,Tedim,6,465935.0,Y,381272,76537,8,Yes,No,No,Resident
HH00212,Ayeyarwady,Hinthada,4,348400.0,yes,20000,26177,8,Yes,Yes,No,Resident
HH00213,Bago,Taungoo,9,487019.0,Yes,662755,113055,1,Yes,No,No,Resident
HH00214,Kayin,Kawkareik,7,570411.0,Yes,20000,57848,1,N,No,No,Resident
HH00215,Ayeyarwady,Hinthada,4,399495.0,Y,1003390,9685,0,Y,No,No,Resident
HH00216,Chin,Matupi,6,739810.0,No,0,0,2,N,No,No,Resident
HH00217,Magway,Magway,4,,No,0,0,0,No,No,Yes,IDP
HH00218,Magway,Magway,5,468687.0,no,0,0,8,Yes,No,No,Resident
HH00219,Kayin,Myawaddy,5,256380.0,Y,730214,77969,8,Yes,Yes,No,Resident
HH00220,Mon,Thaton,7,,No,0,0,1,Yes,No,No,Resident
HH00221,Magway,Pakokku,1,395875.0,no,0,0,3,N,No,No,Resident
HH00222,Kayin,Kawkareik,3,310517.0,Yes,1250033,64644,2,Yes,Yes,No,Resident
HH00223,Shan North,Muse,6,280235.0,no,0,0,4,Yes,No,No,Returnee
HH00224,Mandalay,Myingyan,5,900917.0,Y,589940,113473,2,Yes,No,Yes,Resident
HH00225,Ayeyarwady,Hinthada,5,372574.0,Y,185778,65060,0,Y,No,No,Resident
HH00226,Kachin,Putao,2,157743.0,no,0,0,3,Yes,No,No,Resident
HH00227,Bago,Taungoo,4,294320.0,Y,490496,68749,0,No,No,Yes,Resident
HH00228,Shan South,Pekon,7,410718.0,No,0,0,2,No,No,No,Resident
HH00229,Rakhine,Mrauk-U,1,518400.0,Yes,946942,99937,1,Y,Yes,No,Resident
HH00230,Mandalay,Mandalay,4,519863.0,Y,387961,81151,3,Yes,Yes,Yes,Resident
HH00231,Kayin,Kawkareik,8,541791.0,Y,1171655,37589,4,Yes,No,No,Resident
HH00232,Bago,Taungoo,2,303925.0,Yes,700808,66308,0,Yes,No,No,IDP
HH00233,Sagaing,Kalay,6,481279.0,N,0,0,1,Y,No,No,Resident
HH00234,Ayeyarwady,Myaungmya,3,262309.0,Y,627948,5000,3,Unknown,Yes,No,Resident
HH00235,Kayin,Kawkareik,7,308464.0,No,0,0,0,No,No,No,Resident
HH00236,Ayeyarwady,Myaungmya,6,254812.0,Yes,1143767,40154,2,Yes,Yes,No,Resident
HH00237,Shan North,Muse,7,206090.0,No,0,0,3,Yes,No,No,Resident
HH00238,Kayin,Hpa-An,3,611558.0,Yes,1009125,47038,1,No,Yes,No,Resident
HH00239,Kachin,Myitkyina,5,543950.0,Yes,431073,129591,4,Yes,No,No,Resident
HH00240,Shan South,Taunggyi,6,,No,0,0,2,No,No,No,Resident
HH00241,Magway,Magway,3,427076.0,Yes,997860,84390,2,Y,No,No,Resident
HH00242,Shan South,Hopong,3,559825.0,Yes,916403,62015,0,Yes,Yes,No,IDP
HH00243,Magway,Magway,1,102968.0,Y,647071,45227,0,Yes,No,Yes,Returnee
HH00244,Shan North,Lashio,8,575356.0,Yes,966423,43796,0,Yes,No,No,IDP
HH00245,Shan South,Taunggyi,6,451882.0,no,0,0,8,Yes,Yes,No,Resident
HH00246,Magway,Minbu,5,532880.0,yes,1169805,60787,8,No,No,No,IDP
HH00247,Ayeyarwady,Myaungmya,6,488404 MMK,Y,657178,109143,4,Yes,Yes,No,Resident
HH00248,Kayah,Demoso,5,242330.0,no,0,0,0,Yes,Yes,No,Resident
HH00249,Bago,Taungoo,5,150353.0,yes,658353,61594,2,Yes,No,No,IDP
HH00250,Sagaing,Kalay,4,291830.0,Yes,639492,115222,4,Yes,Yes,No,IDP
HH00251,Mandalay,Myingyan,5,521685.0,N,0,0,3,No,No,Yes,Resident
HH00252,Kayin,Kawkareik,3,544216 MMK,Yes,418002,69319,0,No,No,Yes,Returnee
HH00253,Mandalay,Kyaukse,7,173770.0,Y,653600,113906,8,Yes,Yes,No,Resident
HH00254,Kachin,Bhamo,6,243402.0,No,0,0,0,Yes,Yes,No,Resident
HH00255,Shan North,Muse,4,289818.0,Yes,615054,156373,0,Yes,No,No,Resident
HH00256,Mandalay,Mandalay,5,355685.0,Yes,595211,64304,8,Yes,No,No,Resident
HH00257,Shan North,Muse,3,174831.0,no,0,0,2,Yes,No,No,Returnee
HH00258,Magway,Magway,9,164031.0,Yes,590139,15751,1,N,No,No,Resident
HH00259,Mandalay,Kyaukse,7,272070.0,Yes,287146,51120,2,Yes,No,No,Resident
HH00260,Shan South,Pekon,8,435526.0,Yes,1047540,73509,12,Yes,No,No,IDP
HH00261,Bago,Pyay,4,207493.0,No,0,0,0,Yes,Yes,No,IDP
HH00262,Mandalay,Kyaukse,3,399155.0,yes,480375,130194,4,Y,No,No,IDP
HH00263,Kachin,Myitkyina,3,610540.0,N,0,0,1,Yes,No,No,IDP
HH00264,Mon,Thaton,2,185680.0,No,0,0,0,N,No,No,IDP
HH00265,Tanintharyi,Myeik,3,382840.0,Yes,1192912,131492,1,Yes,Yes,No,Resident
HH00266,Shan South,Hopong,2,604456.0,Yes,351419,52714,2,Y,No,Yes,Resident
HH00267,Kayin,Myawaddy,9,344712.0,No,0,0,1,No,Yes,Yes,IDP
HH00268,Kachin,Bhamo,2,316739.0,yes,1284808,85851,1,Yes,No,No,Resident
HH00269,Shan South,Taunggyi,3,629429.0,N,0,0,3,Yes,Yes,No,Resident
HH00270,Shan South,Taunggyi,7,364884.0,No,0,0,2,Yes,Yes,No,Resident
HH00271,Kachin,Bhamo,5,618809.0,Y,556331,107326,3,Y,No,No,Resident
HH00272,Sagaing,Shwebo,6,497214.0,No,0,0,4,Y,No,No,Resident
HH00273,Mandalay,Kyaukse,5,358288.0,Y,1002555,49285,1,Yes,No,No,IDP
HH00274,Tanintharyi,Myeik,7,506344.0,Y,726804,116695,1,Yes,No,No,Resident
HH00275,Kayah,Hpruso,5,477681.0,Y,243899,75556,2,Yes,No,Yes,Resident
HH00276,Kayin,Hpa-An,5,603759.0,Y,259964,30739,2,Yes,Yes,No,Resident
HH00277,Kayin,Hpa-An,6,321298.0,no,0,0,0,No,No,No,Resident
HH00278,Ayeyarwady,Pathein,4,427417.0,No,0,0,1,Yes,No,No,Resident
HH00279,Sagaing,Monywa,4,408927.0,Yes,452915,96470,0,Yes,No,No,Resident
HH00280,Magway,Minbu,5,546747.0,Yes,537292,45821,1,Y,No,No,Resident
HH00281,Chin,Hakha,3,235468.0,Y,668044,23387,12,No,Yes,No,Resident
HH00282,Kayin,Myawaddy,6,603056.0,Y,800081,125912,2,Y,No,No,Resident
HH00283,Shan North,Lashio,4,503939.0,Y,622279,65881,1,Yes,Yes,No,Resident
HH00284,Kayin,Kawkareik,3,182953.0,N,0,0,2,N,No,No,Resident
HH00285,Kayin,Kawkareik,3,637487.0,Yes,780704,5000,3,No,No,No,Resident
HH00286,Tanintharyi,Dawei,7,822137.0,Y,837886,214585,1,Yes,No,No,Resident
HH00287,Mandalay,Mandalay,4,600330.0,N,0,0,1,Yes,No,No,Resident
HH00288,Shan South,Taunggyi,6,676857.0,No,0,0,3,N,No,Yes,IDP
HH00289,Rakhine,Mrauk-U,7,435367.0,No,0,0,0,No,No,No,IDP
HH00290,Kayin,Kawkareik,2,120929.0,Yes,607063,69639,2,Y,No,No,Resident
HH00291,Bago,Pyay,6,88058.0,No,0,0,2,No,No,No,Resident
HH00292,Chin,Matupi,4,465915.0,N,0,0,4,Y,No,No,Resident
HH00293,Tanintharyi,Myeik,3,313444.0,yes,910262,149040,12,No,Yes,No,Resident
HH00294,Kachin,Myitkyina,6,255376.0,Y,991239,5000,4,N,No,No,Resident
HH00295,Rakhine,Mrauk-U,7,408706.0,Yes,847190,190737,2,Yes,No,No,Resident
HH00296,Rakhine,Sittwe,4,530805.0,Y,867854,23043,0,Yes,No,No,Resident
HH00297,Bago,Taungoo,5,158504.0,N,0,0,2,No,Yes,No,IDP
HH00298,Kayin,Hpa-An,4,,No,0,0,4,Yes,Yes,No,IDP
HH00299,Chin,Tedim,5,691777.0,yes,748640,17369,8,No,No,No,IDP
HH00300,Sagaing,Shwebo,5,226448.0,Yes,1081481,31985,4,No,No,No,IDP
HH00301,Kayah,Loikaw,5,,Yes,675985,36400,0,No,No,No,Resident
HH00302,Bago,Pyay,5,332748.0,Yes,458743,141877,3,Y,No,No,Resident
